"index_number","port_code","year","harbor_size","overhead_limits","channel_depth","anchorage_depth","cargo_depth","cranes_fixed","cranes_mobile","cranes_floating","railway","lifts100","lifts50","lifts25","lifts0","max_lift","lat","long"
33770,"GBBEL",2019,"L",NA,7,9,9,1,1,1,1,NA,NA,"Y","Y",12,54.6166666666667,-5.9
34025,"IEDRO",2019,"V","Y",4,1,11,NA,1,NA,1,"Y","Y","Y","Y",12,53.7166666666667,-6.3
34360,"IEORK",2019,"M","Y",4,17,11,1,1,NA,1,NA,NA,"Y",NA,37,51.85,-8.26666666666667
34400,"IEWAT",2019,"V","Y",4,7,7,1,1,1,0,NA,NA,"Y","Y",12,52.2666666666667,-7.11666666666667
34690,"GBLIV",2019,"L","Y",6,6,12,1,1,1,1,NA,"Y","Y","Y",12,53.4166666666667,-3
35010,"GBCDF",2019,"M","Y",0,9,11,1,1,1,1,NA,NA,"Y","Y",12,51.45,-3.16666666666667
35070,"GBBRS",2019,"M","Y",6,6,14,1,1,NA,1,NA,"Y","Y","Y",12,51.4666666666667,-2.63333333333333
35580,"GBSOU",2019,"L",NA,12,21,14,1,1,1,1,"Y","Y",NA,"Y",12,50.9,-1.4
35732,"FRDKK",2019,"M","Y",20,20,21,1,1,NA,0,NA,"Y",NA,NA,75,51.0666666666667,2.35
35840,"FRLEH",2019,"L","Y",14,6,15,1,1,1,1,"Y","Y","Y","Y",12,49.4833333333333,0.116666666666667
36460,"FRBES",2019,"L","Y",12,21,12,1,1,NA,1,NA,"Y","Y","Y",12,48.3833333333333,-4.5
36900,"FRNTE",2019,"M","Y",7,18,4,1,1,1,1,NA,"Y","Y","Y",12,47.2,-1.56666666666667
37400,"ESBIO",2019,"M",NA,6,23,20,1,1,1,0,"Y","Y","Y","Y",12,43.35,-3.05
37470,"ESSDR",2019,"M","N",11,21,12,1,1,NA,1,NA,NA,"Y","Y",12,43.4666666666667,-3.78333333333333
37560,"ESGIJ",2019,"S",NA,18,6,20,1,1,1,1,NA,"Y","Y","Y",12,43.55,-5.66666666666667
37830,"ESVIL",2019,"V",NA,20,4,11,NA,1,NA,1,NA,NA,NA,"Y",12,42.6,-8.76666666666667
37860,"ESMPG",2019,"S",NA,23,23,11,1,1,1,1,NA,"Y","Y","Y",12,42.4,-8.7
37900,"ESVGO",2019,"M","N",23,23,17,1,1,NA,1,"Y","Y","Y","Y",12,42.2333333333333,-8.71666666666667
37950,"PTLEI",2019,"V","Y",14,20,11,1,1,NA,1,NA,"Y","Y","Y",12,41.1833333333333,-8.7
37990,"PTLIS",2019,"L","Y",14,15,17,1,1,NA,0,NA,"Y","Y",NA,37,38.7,-9.16666666666667
38000,"PTSET",2019,"S",NA,11,6,14,1,1,NA,1,NA,NA,"Y","Y",12,38.5166666666667,-8.9
38005,"PTSIE",2019,"M",NA,NA,23,14,1,1,NA,1,NA,"Y","Y",NA,37,37.95,-8.86666666666667
38095,"PTPRV",2019,"V",NA,17,23,12,1,NA,NA,0,NA,NA,"Y","Y",12,38.7166666666667,-27.05
38100,"PTPDL",2019,"S",NA,7,12,11,NA,1,NA,1,NA,NA,"Y","Y",12,37.7333333333333,-25.6666666666667
38130,"PTFNC",2019,"L",NA,12,12,11,NA,1,NA,0,NA,NA,"Y","Y",12,32.6333333333333,-16.9166666666667
38160,"ESSCT",2019,"M",NA,11,23,18,NA,1,NA,1,NA,NA,NA,"Y",12,28.4666666666667,-16.2333333333333
38170,"ESLPA",2019,"L","N",11,23,21,1,1,1,1,"Y","Y","Y","Y",12,28.15,-15.4166666666667
