"port_code","harbor_size","overhead_limits","channel_depth","anchorage_depth","cargo_depth","cranes_fixed","cranes_mobile","cranes_floating","railway","lifts100","lifts50","lifts25","lifts0","max_lift","lat","long"
"FRAMS","S","Y",6,9,9,0,0,0,0,"U","U","U","U",0,45.0166666666667,-0.533333333333333
"FRANT","V","U",6,9,6,0,1,0,1,"U","U","U","Y",12,43.5833333333333,7.13333333333333
"FRBIA","V","U",17,23,8,0,1,0,1,"U","U","U","Y",12,42.7,9.45
"FRBAY","M","U",5,23,9,1,1,0,0,"U","Y","Y","Y",12,43.5,-1.46666666666667
"FRBYE","S","U",8,9,6,1,1,0,0,"U","U","U","Y",12,45.1333333333333,-0.666666666666667
"FRBON","V","U",11,11,8,1,0,0,0,"U","U","U","Y",12,41.3833333333333,9.16666666666667
"FRBOD","L","Y",13,9,8,1,1,1,0,"Y","Y","Y","Y",12,44.8666666666667,-0.566666666666667
"FRBOL","M","Y",5,14,11,1,1,0,1,"U","U","Y","Y",12,50.7333333333333,1.6
"FRCQF","S","Y",8,19,11,1,1,0,1,"U","U","Y","Y",12,50.9666666666667,1.85
"FRCLY","V","U",9,23,9,0,1,0,0,"U","U","U","Y",12,42.5666666666667,8.75
"FRCEQ","S","Y",8,23,5,0,1,0,1,"U","U","U","Y",12,43.55,7.01666666666667
"FRCOC","V","Y",5,13,5,1,1,0,1,"Y","Y","Y","Y",12,47.8666666666667,-3.91666666666667
"FRDOL","V","Y",0,13,3,1,1,0,1,"U","U","U","Y",12,49.3666666666667,0.0833333333333333
"FRDPE","S","Y",5,11,8,1,1,0,1,"U","U","Y","Y",12,49.9333333333333,1.08333333333333
"FRDON","S","Y",14,19,13,0,0,0,0,"U","U","U","U",0,47.3,-2.06666666666667
"FRDKK","M","Y",14,20,14,1,1,1,0,"Y","Y","Y","Y",12,51.05,2.38333333333333
"FRFEC","S","Y",0,11,6,1,1,0,1,"Y","U","Y","Y",12,49.7666666666667,0.366666666666667
"FRFOS","V","U",22,11,6,0,1,0,1,"U","U","Y","Y",12,43.4166666666667,4.88333333333333
